Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiopen_per_process,std_mpiopen_per_process
2,8025.347166666668,44.36068515256878,0.5069452933967113,0.13238927167235923,0.03168408083729446,0.0008575222524381395,2663.522958808352,242.46102834202736,"(np.int64(10), np.int64(16))",0.26596832275390625,"(np.int64(3), np.int64(336))",0.01879096031188965,1.5734369530702186e-05,3.988332297914134e-07,3.518549650776222e-05,1.992561259140337e-06,4.891583613937157e-05,2.875303125713606e-06,6.847407806802678e-05,5.708787800119298e-06,893.7745520833334,116.73377625276972,231.71653055995702,10.254224403406706
4,5295.607552083333,1041.1645926118963,0.2522036138921976,0.07740223156781702,0.031525451736524705,0.00218468839606487,5081.597709120919,1156.3997824968262,"(np.int64(4), np.int64(870))",1.791611909866333,"(np.int64(5), np.int64(1536))",0.017551898956298828,1.744484725008891e-05,2.1538189959173502e-06,3.037027334377125e-05,5.0070368440768444e-06,3.891936583637164e-05,6.287979210351184e-06,7.131462744264691e-05,1.6246076733028724e-05,747.3670104166665,233.97963322784017,273.55393647824724,13.717739142198338
8,3869.0872369791664,309.6842418169199,0.13751628783841927,0.02946077559833779,0.034379071959604816,0.0018862575086007968,7010.79055522016,726.9451347498688,"(np.int64(4), np.int64(876))",0.2876927852630615,"(np.int64(9), np.int64(1481))",0.018228769302368164,1.905193987997732e-05,8.392379124978261e-07,3.242378453337612e-05,3.306972309823136e-06,4.1622512124593006e-05,5.952314265034095e-06,8.769415198238912e-05,7.217650941173266e-06,793.7691953125,170.16885239152512,361.23817364176114,36.07293603325529
16,4894.540253906251,599.0326000519726,0.0786604846517245,0.04413498121819425,0.039330242325862255,0.0077929764874409176,6647.3192032863935,1226.9172342663987,"(np.int64(9), np.int64(271))",1.3528532981872559,"(np.int64(8), np.int64(1199))",0.01704263687133789,2.3941807348294907e-05,6.21859962528525e-06,2.9194461144110594e-05,3.5419264050028404e-06,3.884022545169368e-05,5.333814871038503e-06,8.876162788106336e-05,1.3630784622189059e-05,1046.4882239583335,212.5718457080239,566.0800919464479,81.57100607411611
