Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiopen_per_process,std_mpiopen_per_process
2,9374.972624999999,493.6339660824069,1505.186622060587,338.25815643350757,94.07416387878668,20.020225454880688,1.9153180098679807,0.22125389505876664,"(np.int64(5), np.int64(499))",362.8059437274933,"(np.int64(1), np.int64(1536))",13.26175856590271,0.05762917791751541,0.013345996189488828,0.04534231363975309,0.01086240834468888,0.09832960898404533,0.01721512322988779,0.27090921181909466,0.050895772869168805,968.9577187500001,134.71350885762803,228.7202872954309,28.169988393782674
4,5580.024598958333,456.6638347584213,1186.436997740219,414.2041827886782,148.3046247175274,51.02486367901901,2.7620327832435327,0.5275272660678922,"(np.int64(8), np.int64(1467))",512.4771745204926,"(np.int64(5), np.int64(1536))",24.43620538711548,0.09117452182385433,0.03658119126078275,0.03995502430044356,0.012864953547046741,0.11574040176828615,0.02509239796998155,0.9590036156544187,0.2422868847404917,850.5473802083334,177.58182051259965,262.83400193750856,18.188330600118807
8,5366.006864583333,2414.655772780601,1884.3566522623723,2092.622980349977,471.089163065593,550.0092695292253,2.078760172574606,0.6312734628527465,"(np.int64(10), np.int64(1125))",3100.247266769409,"(np.int64(5), np.int64(1536))",63.94888687133789,0.339146361177476,0.46507664585883496,0.0771211739614271,0.03364091094374789,0.18785213467493736,0.026305633285043806,1.830461665835335,0.25498792538558385,976.9755208333333,213.8638977024681,327.5814273996899,20.86916369861107
16,6407.070256510417,2797.8400939217695,1958.1182541642027,2025.1860161469021,979.0591270821012,1059.855433730824,1.630697970168765,0.5622249359056051,"(np.int64(6), np.int64(555))",6499.1284811496735,"(np.int64(9), np.int64(764))",148.41106462478638,0.7604284294441995,0.8879991035323244,0.08869678129915125,0.024277479496560263,0.23336977720014404,0.029268245293724647,2.0937898526226895,0.8099560698507592,1185.5666614583333,487.9813412422407,497.7005744471215,81.31259417716227
