Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiCollective_per_process,std_mpiCollective_per_process,CI95_simulation,CI95_io_per_process,CI95_time_per_scenario,CI95_bandwidth,CI95_time_per_record1,CI95_time_per_record2,CI95_time_per_record3,CI95_time_per_record4,CI95_comunication_per_process,CI95_mpiCollective_per_process
16,2474.521604166667,66.36082083901437,200.53154254065242,95.94851499411287,50.11930742748082,5.1795561970132855,12.6864730877697,1.6454219001904098,"(np.int64(1), np.int64(188))",339.6088399887085,"(np.int64(5), np.int64(387))",5.441732883453369,1.3346855564910467e-05,1.2105933194686783e-06,1.8704851968499654e-05,3.704403681106528e-07,0.13036131576360185,0.009754509795170598,1.5232739235274493,0.22199291132468926,272.2425833333333,19.08990920379361,57.592133715500424,7.486611266266028,82.38463253477775,4.291841891747526,6.430237429090069,2.042733602417508,1.5029091640597794e-06,4.598887297804741e-07,0.012109881928397735,0.27559641658407286,23.699453005442468,9.294365414772567
8,4152.644624999999,51.32944619948121,246.3003857404666,92.31934930995135,30.778083847245817,3.3544369586210228,9.670061863851139,0.7137287750945565,"(np.int64(3), np.int64(164))",218.9542031288147,"(np.int64(1), np.int64(194))",0.9276702404022217,1.1734769640701608e-05,1.1012316305921735e-07,1.8105519313137266e-05,3.439390644445503e-07,0.08965226079183862,0.010789131141910815,0.8423907181161836,0.08863021984934084,226.66922916666667,24.063855101447935,32.490293571601306,5.035196622175397,63.7237079031392,5.840004606032397,4.164415881284555,0.8860692517397651,1.3671404614192508e-07,4.26988290385354e-07,0.013394328057697536,0.11003131066564066,29.87443245634769,6.251020078015592
4,7765.202687499999,48.588020137712704,300.00253650392096,52.11509372821098,18.740408755062766,1.9669397131807747,8.0997622787378,0.7515769287290185,"(np.int64(4), np.int64(1152))",84.89116406440735,"(np.int64(1), np.int64(1086))",0.5235824584960938,1.1377618601797116e-05,7.84036630196447e-08,1.8564374666879567e-05,9.215880037651873e-07,0.07325936260176431,0.008837302456093057,0.33211642361625476,0.031714900408546555,226.826125,19.52476447340577,15.235620968043804,1.749099676826342,60.320323558814145,4.662286695501402,2.4418866951867266,0.9330564075626147,9.733539889332553e-08,1.1441191968200799e-06,0.010971201173206118,0.03937293696793863,24.23931057712198,2.171445927283032
2,14863.222625,86.22253939366608,255.09536868067963,86.14493337670835,7.960356708771239,1.5079919204760088,5.934162113193251,0.5710235975738797,"(np.int64(2), np.int64(586))",49.15289330482483,"(np.int64(1), np.int64(415))",0.2870473861694336,1.1298251868937293e-05,1.632899472873587e-07,1.7658855943256783e-05,3.333825061920115e-07,0.03622974589898811,0.0077882581269821975,0.09118775773483018,0.00858089772313814,273.53862500000014,14.890778554938809,14.488782333334285,0.9761256815791421,107.0422597905298,10.898837816052538,1.8721191007449118,0.708905776933268,2.027187447926101e-07,4.13882693416064e-07,0.009668849416946946,0.01065288368650846,18.486379521757637,1.211825811795542
32,1808.1900312499997,92.41916354167577,267.5725282161453,122.1330746710071,133.6643424294268,27.841012932323782,7.9267235412384025,2.6192186277400302,"(np.int64(5), np.int64(580))",723.682377576828,"(np.int64(3), np.int64(772))",8.357361555099487,1.617045252647174e-05,2.368084781494837e-06,2.0192676897912185e-05,6.88534324562641e-07,0.34106879763419373,0.08984463550782182,4.1276335771454296,1.0904414095067176,282.68907291666676,25.25251127455791,68.86179344380896,8.017494128301095,114.73515142350632,3.8629914744789917,34.56364148041115,3.251668099435947,2.939894233796962e-06,8.547912246939152e-07,0.11153896512957724,1.3537447802348543,31.35010742229519,9.953437875824116
