Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiCollective_per_process,std_mpiCollective_per_process
32,2988.6777057291665,75.36457396676882,1194.9682663021608,7.0952622641696115,597.4841331510804,9.874112319451392,3.766910573889195,1.0214259056356072,"(np.int64(3), np.int64(739))",898.4820261001587,"(np.int64(4), np.int64(1514))",49.53792929649353,1.4338265912849209e-05,4.2949687793894805e-08,0.004106660854672052,0.0004789606202590763,2.898092681039803,0.05433392307281907,5.155143350816367,0.2469988637468284,494.92879427083335,15.296545892097567,0,0
8,4987.3389375,77.08030376105938,968.9719671907525,6.938149008459902,121.12149589884407,8.801293222280998,4.2649065241699695,0.29097926054974693,"(np.int64(3), np.int64(74))",456.9124367237091,"(np.int64(2), np.int64(218))",1.1635971069335938,1.3804749505497507e-05,1.8337037680611307e-07,0.0027266920626400986,0.00028178246572047917,0.5928967232004136,0.04397424869460435,0.9817388123987865,0.07375727725550561,385.68459375000003,19.74848507950997,0,0
4,7571.658458333334,14.39111284476025,75.75990995317697,2.585448995656189,4.734994372073561,0.2922892759041624,46.18585983625216,3.148892663757145,"(np.int64(3), np.int64(83))",72.03203344345093,"(np.int64(2), np.int64(980))",0.12050104141235352,1.2496601748903492e-05,3.7471181594747747e-07,0.00010951755251930677,1.4155202599711048e-05,0.02141123726014833,0.0012220905001640572,0.054663169658225444,0.004542665842108914,332.55235416666665,12.981371515988446,0,0
2,14702.880083333332,26.40518473024098,34.7301417440176,1.0132566286829083,1.0853169295005498,0.05181016257964184,62.78485454807041,1.8257943320537502,"(np.int64(4), np.int64(19))",15.658010959625244,"(np.int64(1), np.int64(342))",0.10052919387817383,1.0681332838775828e-05,1.1060043194222603e-06,5.707447561541282e-05,2.8635355306236946e-06,0.004636722245035957,0.00021212953839946163,0.014463722973165135,0.0007894453956737422,374.0384583333333,13.104954591209243,0,0
16,2992.7657552083338,77.20086161191614,654.0435817722231,3.725080771625159,163.51089544305577,8.351527144498554,5.374570825127876,0.8652113043277849,"(np.int64(2), np.int64(130))",414.48401641845703,"(np.int64(5), np.int64(447))",0.39002180099487305,1.404151245295307e-05,1.784149407520377e-07,0.0017572484533946776,0.00018981904835954083,0.7974479992568878,0.03756353930112527,1.3646935938115887,0.13900268685921696,395.2799375,9.540949904672502,0,0
