Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiCollective_per_process,std_mpiCollective_per_process
32,2132.8220494791667,75.88598041548894,61.612008952597776,0.7791555709174198,30.806004476298888,2.566848741214854,34.103757882986926,4.698232070239027,"(np.int64(1), np.int64(497))",99.67616510391235,"(np.int64(2), np.int64(1489))",5.43733811378479,1.3672536316836682e-05,1.113848761744968e-06,1.3405395562794789e-05,2.8364865399340073e-07,0.09508988190035539,0.007867263538845724,0.791277769404567,0.1305571748598501,357.7159270833333,19.56586620535793,230.02600469551982,7.780537640124508
16,2619.430411458333,88.31248854876767,99.40613932895164,0.9538780015857713,24.851534832237906,0.8157682528596687,18.85279218857727,1.044221948263982,"(np.int64(1), np.int64(207))",71.06233382225037,"(np.int64(1), np.int64(387))",2.386331081390381,1.2696156996527529e-05,9.52777092075857e-07,1.37988007978996e-05,3.026287310830721e-07,0.082079838756008,0.005332147004528303,0.5862991140862168,0.06601206751604888,281.2790416666666,16.079258990613745,126.49389632927875,24.81551783179321
8,4151.011145833333,124.18959327425318,193.56785329928002,2.2315776981795543,24.195981662410002,2.3057863505168856,12.090728643050214,1.3272111877356556,"(np.int64(1), np.int64(602))",72.39316082000732,"(np.int64(1), np.int64(194))",1.0566697120666504,1.3438255017192975e-05,1.5672643961994547e-06,1.381937400641386e-05,5.131007163088531e-07,0.09421182819891907,0.007880792628037165,0.432555122371694,0.05239436607919982,222.57356249999998,6.920086879168068,79.3144527286291,19.177567180393293
4,7912.233583333333,81.80117721005814,270.5222175255418,4.452977494774355,16.907638595346363,1.9268765110585457,8.889813730498847,0.848792928817431,"(np.int64(5), np.int64(1445))",73.68952322006226,"(np.int64(1), np.int64(1370))",0.43494725227355957,1.2394302276114773e-05,1.319879889688473e-07,1.3303582072359897e-05,2.3113514559433605e-07,0.07117181697367937,0.00922953968473683,0.2504381508238752,0.01833876103140231,230.99941666666672,11.25948917008447,32.26528839518626,1.4021680656856994
2,15096.473833333332,40.597111877180126,320.26599192519984,10.782888788587977,10.008312247662495,1.5404617129675235,5.547902777889938,0.32665263840351694,"(np.int64(1), np.int64(1277))",55.51298975944519,"(np.int64(1), np.int64(650))",0.31297874450683594,1.2487045172459026e-05,4.808193326352857e-07,1.3802595253054432e-05,4.836091325345657e-07,0.0447406737026812,0.0073745873862021485,0.12263450559608087,0.017426619127862503,352.8089166666668,7.538916872140382,23.24086074133714,2.6522744953492405
