Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiCollective_per_process,std_mpiCollective_per_process
32,1374.1025677083335,49.465412364119096,18.17676668005685,0.11206074901465368,9.088383340028425,0.6253486492879464,142.98427843658004,19.242031528234637,"(np.int64(4), np.int64(372))",22.0151584148407,"(np.int64(1), np.int64(1536))",1.2546074390411377,0.0032494554489069737,0.00016244394193693092,0.01009327952174915,0.0017236656657645007,0.013706588402561759,0.0015942532281521045,0.10513737573012434,0.007700068075261022,269.76119270833334,16.502833542277006,166.13373012902835,9.09275865581604
16,1613.300671875,56.14515681185873,20.374965671636165,0.21809855993102104,3.57249865006794,0.20282380824454022,96.16801470611605,7.282489000595221,"(np.int64(4), np.int64(305))",14.804845571517944,"(np.int64(5), np.int64(302))",0.34575700759887695,0.002144786230955326,0.00029526663793072536,0.00473116551202158,0.0008258064245330453,0.0070825011067752325,0.0008738081200311031,0.04847041494972756,0.0027663372380001606,215.97084375000003,29.496086338467677,97.42159618604929,9.58008314929787
8,2574.699984375,16.072908937588313,26.32758032865822,0.4092089743684773,2.3505162818026806,0.4291489496086599,83.4852906612513,11.139396206840182,"(np.int64(3), np.int64(155))",11.29835557937622,"(np.int64(3), np.int64(382))",0.1748809814453125,0.001582007828446952,0.000337977455584682,0.002509730420151918,0.0006247292138123399,0.004122469124173254,0.0007427091644941758,0.026811889551096497,0.0012046255115653144,206.20528125000004,16.373370137139442,72.33566437065602,1.2772648445668686
4,4795.8608125,20.566650766233447,31.30201602652669,0.7607771863799804,1.4666531448318398,0.2376938645636058,52.21839202916029,8.11028993330768,"(np.int64(2), np.int64(1194))",7.147028684616089,"(np.int64(3), np.int64(292))",0.13579630851745605,0.0009910819498225294,0.00022219970164666475,0.001023000832815145,0.00012492418467698754,0.0020360753361936376,0.00015869869907584732,0.019229411721843392,0.0003257737667911815,188.11653124999992,13.098161093120378,48.66491215899587,2.4607407641274586
2,8847.893375,122.57026674507925,71.88791777193546,10.679450528428289,1.6617024371324682,1.3455524610273073,33.80136326345981,2.816423723015861,"(np.int64(5), np.int64(986))",294.0695185661316,"(np.int64(4), np.int64(446))",0.09174776077270508,0.0014183573490888785,0.0014947897536718305,0.0005273464501258272,0.0001362246155411604,0.0011637391491045048,0.0001621309842089596,0.019393148040429395,0.006152340157338325,170.21412499999997,15.357289784050652,45.01629528254271,3.08126411351647
