Nodes,Avg_Simulation,Stdev_simulation,Avg_io_per_process,Stdev_io_per_process,Avg_time_per_scenario,Stdev_time_per_scenario,Avg_bandwidth,Stddev_bandwidth,worstScenario,max_time_per_scenario,bestScenario,min_time_per_scenario,Avg_time_per_record1,Stdev_time_per_record1,Avg_time_per_record2,Stdev_time_per_record2,Avg_time_per_record3,Stdev_time_per_record3,Avg_time_per_record4,Stdev_time_per_record4,Avg_comunication_per_process,std_comunication_per_process,Avg_mpiCollective_per_process,std_mpiCollective_per_process
2,8677.679250000001,125.94495658264177,71.88791777193546,68.92119965086158,1.6617024371324682,1.5350748827291816,33.80136326345981,3.213119845972706,"(np.int64(5), np.int64(986))",294.0695185661316,"(np.int64(4), np.int64(446))",0.09174776077270508,0.0014183573490888785,0.0017053323986124384,0.0005273464501258272,0.00015541199008102497,0.0011637391491045048,0.00018496729691335644,0.019393148040429395,0.007018903475770534,170.21412499999997,17.520379544540983,45.01629528254271,3.515263272680335
4,4607.74428125,11.315499160335548,31.30201602652669,6.943467365210871,1.4666531448318398,0.27117328520349543,52.21839202916029,9.252632453116433,"(np.int64(2), np.int64(1194))",7.147028684616089,"(np.int64(3), np.int64(292))",0.13579630851745605,0.0009910819498225294,0.0002534967538072012,0.001023000832815145,0.00014251988212830703,0.0020360753361936376,0.00018105157095631516,0.019229411721843392,0.0003716593305261456,188.11653124999992,14.943050298193938,48.66491215899587,2.8073385834662115
8,2368.494703125,25.774876644954464,26.32758032865822,5.281764889738167,2.3505162818026806,0.4895950121416303,83.4852906612513,12.70839140142753,"(np.int64(3), np.int64(155))",11.29835557937622,"(np.int64(3), np.int64(382))",0.1748809814453125,0.001582007828446952,0.00038558192119885967,0.002509730420151918,0.0007127229538848941,0.004122469124173254,0.0008473204996535971,0.026811889551096497,0.001374298230250256,206.20528125000004,18.67957584051472,72.33566437065602,1.4571688865929702
16,1397.329828125,31.067389691057624,20.374965671636165,3.9810873942904075,3.57249865006794,0.23139174627049705,96.16801470611605,8.3082349238395,"(np.int64(4), np.int64(305))",14.804845571517944,"(np.int64(5), np.int64(302))",0.34575700759887695,0.002144786230955326,0.0003368552417861836,0.00473116551202158,0.0009421220926081324,0.0070825011067752325,0.0009968848753473686,0.04847041494972756,0.003155978629008864,215.97084375000003,33.65063985868194,97.42159618604929,10.929447526495053
32,1104.341375,59.01698926261073,18.17676668005685,3.5429339975288405,9.088383340028425,0.713429637472206,142.98427843658004,21.952291082819805,"(np.int64(4), np.int64(372))",22.0151584148407,"(np.int64(1), np.int64(1536))",1.2546074390411377,0.0032494554489069737,0.0001853243350530645,0.01009327952174915,0.0019664457138427838,0.013706588402561759,0.0018188054038247895,0.10513737573012434,0.008784630432479396,269.76119270833334,18.827274296885225,166.13373012902835,10.373482886430756

